FECHA,DESCRIPCION,VALOR
30/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,96
27/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-741
27/11/2025,SERVICIO PAGO A PROVEEDORES UNICENTRO BOGOTA,-3900
27/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-3769
27/11/2025,PAGO A PROVE Sebastian River UNICENTRO BOGOTA 71364951,-937500
26/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,51
25/11/2025,SERVICIO PAGO A OTROS BANCOS UNICENTRO BOGOTA,-7300
25/11/2025,PAGO A PROV irene zorrilla UNICENTRO BOGOTA,-2077473
25/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-1387
25/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-12846
25/11/2025,PAGO PSE Banco Caja Social S. UNICENTRO BOGOTA Pago HAUSI INMOBILIARIA,-1125285
24/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,89
22/11/2025,TRANSFERENCIA CTA SUC VIRTUAL UNICENTRO BOGOTA 04840336234 04840336234,84000
21/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,30
21/11/2025,PAGO DE PROV MEGAMARKET S A UNICENTRO BOGOTA 811011194,3861000
20/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-741
20/11/2025,SERVICIO PAGO DE NOMINA UNICENTRO BOGOTA,-3900
20/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,24
20/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-24019
20/11/2025,TRANSFERENCIA CTA SUC VIRTUAL UNICENTRO BOGOTA 00998998859 00998998859,1000000
20/11/2025,PAGO A NOMIN gina varon UNICENTRO BOGOTA 52115669,-6000000
19/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,63
18/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-741
18/11/2025,SERVICIO PAGO A PROVEEDORES UNICENTRO BOGOTA,-3900
18/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-3051
18/11/2025,PAGO PSE IMPUESTO DIAN UNICENTRO BOGOTA,-758000
18/11/2025,PAGO DE PROV PRODUCTOS NATUR UNICENTRO BOGOTA 900569457 DEB CTE,1170000
17/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,31
17/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-16960
17/11/2025,PAGO A PROVE diego armando r UNICENTRO BOGOTA 1038408351 pagoprestamo,-4240000
16/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,37
16/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-7248
16/11/2025,PAGO PSE COMPENSAR-OI UNICENTRO BOGOTA MiPlanilla.com Pago Prot,-1812100
15/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-741
15/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-741
15/11/2025,SERVICIO PAGO DE NOMINA UNICENTRO BOGOTA,-3900
15/11/2025,SERVICIO PAGO DE NOMINA UNICENTRO BOGOTA,-3900
15/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,39
15/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-7534
15/11/2025,PAGO A NOMIN roberto giraldo UNICENTRO BOGOTA 80351360,-874088
15/11/2025,PAGO A NOMIN carolay tocarru UNICENTRO BOGOTA 1033758622,-986000
14/11/2025,CUOTA MANEJO TRJ DEB 11 25 UNICENTRO BOGOTA MANEJO TARJETA DEB 11 25,-14200
14/11/2025,AJUSTE INTERES AHORROS DB UNICENTRO BOGOTA,0
14/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,42
14/11/2025,PAGO DE PROV MEGAMARKET S A UNICENTRO BOGOTA 811011194,6888375
13/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,32
13/11/2025,TRANSFERENCIA CTA SUC VIRTUAL UNICENTRO BOGOTA 00998998859 00998998859,1000000
12/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,62
11/11/2025,TRANSFERENCIA CTA SUC VIRTUAL UNICENTRO BOGOTA 31100021724 31100021724,525000
10/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-741
10/11/2025,SERVICIO PAGO A PROVEEDORES UNICENTRO BOGOTA,-3900
10/11/2025,PAGO INTERBANC MAKRO SUPERMAYO UNICENTRO BOGOTA 9000592385 Página 1 de22025/11/10 ABONO INTERESES AHORROS UNICENTRO BOGOTA,1802304
10/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-16394
10/11/2025,"PAGO PSE SECRETARIA DE HACIEN UNICENTRO BOGOTA INDUSTRIA, COMERCIO, AVI",-1792000
10/11/2025,PAGO PSE SECRETARIA DE HACIEN UNICENTRO BOGOTA RETENCIONES DEL IMPUESTO,-139000
10/11/2025,PAGO PSE Banco Caja Social S. UNICENTRO BOGOTA Pago HAUSI INMOBILIARIA,-1162908
10/11/2025,PAGO A PROVE gina varon UNICENTRO BOGOTA 52115669 pagocajamenor,-1000000
09/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,33
09/11/2025,PAGO DE PROV DISTRIBUIDORA M UNICENTRO BOGOTA 901918633 FVE1312,1547647
08/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,62
07/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-741
07/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-741
07/11/2025,SERVICIO PAGO A PROVEEDORES UNICENTRO BOGOTA,-3900
07/11/2025,SERVICIO PAGO A PROVEEDORES UNICENTRO BOGOTA,-3900
07/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-400037
07/11/2025,PAGO DE PROV PRODUCTOS ALIME UNICENTRO BOGOTA 900746235,4143750
07/11/2025,CONSIG NACIONAL EFECTIVO BARRIO TRISTE,20000000
07/11/2025,PAGO A PROVE sabina uribe UNICENTRO BOGOTA 43267923 pago acciones,-20000000
07/11/2025,PAGO A PROVE sabina uribe UNICENTRO BOGOTA 43267923 pagoaciones2,-80000000
06/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,271
06/11/2025,CONSIG LOCAL EFECTIVO VALVANERA,25000000
06/11/2025,CONSIG LOCAL EFECTIVO CARRERA DECIMA,6630000
05/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA,369
04/11/2025,COBRO IVA PAGOS AUTOMATICOS UNICENTRO BOGOTA,-1482
04/11/2025,SERVICIO PAGO DE NOMINA UNICENTRO BOGOTA,-7800
04/11/2025,IMPTO GOBIERNO 4X1000 UNICENTRO BOGOTA,-7477
04/11/2025,PAGO A NOMIN roberto giraldo UNICENTRO BOGOTA 80351360,-874088
04/11/2025,PAGO A NOMIN carolay tocarru UNICENTRO BOGOTA 1033758622,-986000
03/11/2025,ABONO INTERESES AHORROS UNICENTRO BOGOTA Página 2 de2,569
